Latitude,Longitude
-37.5609263,144.9165764
-37.590866,142.8556538
-36.4258628,145.2469687
-37.0560671,142.6321261
-36.4226585,144.9768041
-37.3437486,143.9469014
-36.317921,145.3893292
-36.5407039,144.0634638
-36.5760889,144.5569209
-38.2837968,144.1793644
-36.993838,141.2927917
-36.4659361,146.6200623
-35.8170819,143.6323799
-36.2131585,146.4254511
-36.5984404,146.2303089
-35.3000573,141.3942951
-38.5863427,143.1268051
-37.1471717,142.8320957
-36.3231618,143.9932101
-34.72081,143.1493546
-36.56106,145.6252994
-38.1992597,143.9722418
-36.1431575,145.4881304
-34.9517908,143.3043472
-36.4385824,145.3036172
-38.5163989,143.5389823
-36.4209109,145.0940081
-35.9636794,145.4529648
-35.28139,143.5612847
-35.9861951,145.5606611
-38.1644966,142.5534918
-36.3659383,145.4690382
-37.9405602,143.3468215
-36.6347914,144.80494
-36.2088384,144.9369664
-35.446332,143.7336791
-38.150345,142.6856428
-38.3205356,145.3395895
-36.4098618,145.0161675
-36.4394144,144.951925
-36.3993658,147.2262225
-34.1668361,141.1801619
-36.3832251,145.1820168
-36.2578389,145.1950745
-36.0265357,145.1639804
-36.3461715,145.2389703
-36.0320813,145.4763336
-36.9236895,143.3573914
-36.7531215,145.6808187
-36.454778,145.2781326
-36.0471993,144.0141728
-36.2661978,145.2083395
-36.2911516,144.5133815
-36.0235825,145.2076859
-36.2615038,144.9472506
-36.2607503,144.6291212
-36.0717996,145.3855472
-36.4024654,144.9589719
-36.3958812,144.6391388
-36.3568743,144.4760845
-36.0140588,145.2394972
-36.403498,145.4966943
-36.0034294,145.2369132
-36.2089172,144.6257783
-36.5432711,145.2422641
-36.4574803,145.1876595
-36.3333061,145.1748813
-36.127607,145.5962381
-36.0521656,146.1155281
-36.4389222,145.5368557
-36.3873244,145.4624804
-36.1944866,145.4538749
-36.2214051,144.9668541
-35.9701704,145.4969066
-36.4167506,145.1107296
-35.5938738,142.8442957
-36.0322829,144.0413266
-36.3555002,145.2599465
-35.9748392,145.4795292
-36.1991601,145.4572383
-35.9169675,145.027476
-36.3680444,144.997214
-36.4826718,145.0552448
-37.2696764,143.1100276
-38.2729212,144.158046
-36.2440676,145.5560827
-35.9778904,145.2073415
-36.5147809,144.8003654
-34.6015739,142.7898511
-36.3602126,145.1380596
-35.7945989,144.1808808
-36.3072704,145.0827343
-36.2697997,144.4734486
-36.2252037,143.7919749
-34.157513,142.1572541
-34.1570075,141.3343642
-36.2427236,145.5544041
-35.9935859,145.4793127
-36.1386196,144.8152265
-35.0851216,142.2965821
-36.6816867,143.5553749
-36.0536972,145.5418387
-36.2959482,144.7499406
-36.3176555,144.955342
-36.3474277,145.4309344
-38.342337,142.4258382
-36.2891111,145.1311414
-36.254118,145.3873491
-36.3468753,144.7526719
-36.3166518,145.161591
-36.3920864,144.9285449
-36.2679067,145.1518062
-36.4224712,145.2113276
-38.3850412,143.4718424
-36.3609658,145.4403814
-38.4441293,143.7368291
-36.4025348,145.3024716
-36.442568,145.3097792
-36.2494985,141.9755427
