Lon,Lat,lon1,lon2,lat1,lat2,StressLevel
143.34999999999988,-37.94999999999999,143.29999999999987,143.39999999999986,-37.999999999999986,-37.899999999999984,3
143.34999999999988,-37.84999999999999,143.29999999999987,143.39999999999986,-37.899999999999984,-37.79999999999998,1
143.34999999999988,-36.84999999999997,143.29999999999987,143.39999999999986,-36.89999999999997,-36.79999999999997,1
143.34999999999988,-36.349999999999966,143.29999999999987,143.39999999999986,-36.39999999999996,-36.29999999999996,1
143.34999999999988,-34.849999999999945,143.29999999999987,143.39999999999986,-34.89999999999994,-34.79999999999994,4
143.44999999999987,-38.55,143.39999999999986,143.49999999999986,-38.599999999999994,-38.49999999999999,1
143.44999999999987,-38.449999999999996,143.39999999999986,143.49999999999986,-38.49999999999999,-38.39999999999999,1
143.44999999999987,-37.94999999999999,143.39999999999986,143.49999999999986,-37.999999999999986,-37.899999999999984,1
143.44999999999987,-35.24999999999995,143.39999999999986,143.49999999999986,-35.29999999999995,-35.199999999999946,1
143.54999999999987,-38.55,143.49999999999986,143.59999999999985,-38.599999999999994,-38.49999999999999,1
143.54999999999987,-37.24999999999998,143.49999999999986,143.59999999999985,-37.299999999999976,-37.199999999999974,1
143.54999999999987,-36.84999999999997,143.49999999999986,143.59999999999985,-36.89999999999997,-36.79999999999997,1
143.54999999999987,-36.64999999999997,143.49999999999986,143.59999999999985,-36.69999999999997,-36.599999999999966,2
143.54999999999987,-35.84999999999996,143.49999999999986,143.59999999999985,-35.899999999999956,-35.799999999999955,1
143.54999999999987,-35.549999999999955,143.49999999999986,143.59999999999985,-35.59999999999995,-35.49999999999995,1
143.54999999999987,-35.24999999999995,143.49999999999986,143.59999999999985,-35.29999999999995,-35.199999999999946,2
143.64999999999986,-37.34999999999998,143.59999999999985,143.69999999999985,-37.39999999999998,-37.299999999999976,1
143.64999999999986,-37.049999999999976,143.59999999999985,143.69999999999985,-37.09999999999997,-36.99999999999997,1
143.64999999999986,-36.04999999999996,143.59999999999985,143.69999999999985,-36.09999999999996,-35.99999999999996,1
143.64999999999986,-35.84999999999996,143.59999999999985,143.69999999999985,-35.899999999999956,-35.799999999999955,1
143.64999999999986,-35.44999999999995,143.59999999999985,143.69999999999985,-35.49999999999995,-35.39999999999995,8
143.74999999999986,-38.55,143.69999999999985,143.79999999999984,-38.599999999999994,-38.49999999999999,1
143.74999999999986,-38.449999999999996,143.69999999999985,143.79999999999984,-38.49999999999999,-38.39999999999999,1
143.74999999999986,-36.64999999999997,143.69999999999985,143.79999999999984,-36.69999999999997,-36.599999999999966,1
143.74999999999986,-36.249999999999964,143.69999999999985,143.79999999999984,-36.29999999999996,-36.19999999999996,2
143.74999999999986,-36.14999999999996,143.69999999999985,143.79999999999984,-36.19999999999996,-36.09999999999996,1
143.74999999999986,-35.84999999999996,143.69999999999985,143.79999999999984,-35.899999999999956,-35.799999999999955,1
143.74999999999986,-35.649999999999956,143.69999999999985,143.79999999999984,-35.69999999999995,-35.59999999999995,1
143.74999999999986,-35.549999999999955,143.69999999999985,143.79999999999984,-35.59999999999995,-35.49999999999995,1
143.74999999999986,-35.44999999999995,143.69999999999985,143.79999999999984,-35.49999999999995,-35.39999999999995,2
