Latitude,Longitude,LocalDensity,GlowSize
-36.2043457,145.0845144,67,139
-37.5637653,142.664724,4,13
-36.4419431,144.9668706,64,133
-36.2908065,144.9992207,100,205
-36.4121958,145.4634105,35,75
-36.3398274,145.0423315,125,255
-34.4448757,142.3503986,4,13
-36.350923,144.8563863,60,125
-36.2451081,144.613475,55,115
-36.3017944,144.6409155,58,121
-36.2092417,144.6146556,39,83
-38.0555518,147.1181523,4,13
-36.2835775,144.9332095,86,177
-36.2370902,144.6145165,49,103
-36.1979058,145.4314336,18,41
-36.4890131,145.1290269,62,129
-36.3278951,145.2293347,81,167
-36.4696647,145.0994239,67,139
-36.2997811,145.25722,73,151
-35.9826844,145.1333942,15,35
-36.3214666,144.7559832,43,91
-36.2033682,144.8711616,39,83
-36.5299224,142.4959718,2,9
-36.8469319,143.5017309,1,7
-36.6363793,145.8491984,3,11
-36.3763172,146.4221524,3,11
-35.9978036,145.9314055,2,9
-36.2131214,146.4233037,4,13
-36.147406,147.9547853,1,7
-36.6230986,144.4458107,3,11
-36.0372709,146.4568549,4,13
-38.5863427,143.1268051,5,15
-35.8674948,144.1917362,10,25
-35.5063347,143.6134483,11,27
-35.6719236,143.8850726,10,25
-35.808999,144.1780733,10,25
-35.5000162,143.6354924,11,27
-34.1591763,142.1589284,13,31
-34.4553274,142.3077317,4,13
-36.418208,145.4921057,34,73
-36.451849,145.3894606,54,113
-38.4136215,144.0560824,1,7
-36.2163877,144.5462186,38,81
-37.4026638,141.6114615,3,11
-37.7081809,142.5956324,5,15
-36.3088812,145.0976575,104,213
-36.3698448,144.977823,95,195
-36.441552,145.0911332,83,171
-36.2153653,144.9621855,66,137
-36.3105247,145.1604646,90,185
-36.2342869,145.0505058,77,159
-36.2922933,144.6287134,59,123
-35.9589821,145.4999386,28,61
-36.2747549,144.9533633,94,193
-36.4467308,145.2024699,89,183
-36.0276158,145.3644684,32,69
-38.3462341,142.7863408,2,9
-38.346144,142.7863434,2,9
-36.2552093,145.1435467,78,161
-36.6060883,145.3184766,17,39
-36.5837407,145.2408272,37,79
-36.3484418,144.9938055,113,231
-36.7314874,146.9880266,1,7
-36.7154343,145.3097515,6,17
-35.8535788,145.092213,5,15
-37.7242869,144.6537865,1,7
-38.5838732,143.3969703,1,7
-35.9065032,143.5759277,2,9
-36.3697623,145.0289081,112,229
-36.2336378,144.9173447,66,137
-36.2237021,144.8179147,34,73
-36.2935946,144.9630378,97,199
-36.4301375,145.0297784,83,171
-36.4678481,145.3133291,67,139
-36.0419988,145.6285366,30,65
-36.5000624,145.1587393,63,131
-36.4633827,145.0595825,76,157
-37.0862543,144.6724878,2,9
-36.7412159,141.9215505,1,7
-36.6645824,143.7008529,2,9
-37.0111443,142.3240449,3,11
-37.068082,144.7018399,2,9
-36.4339663,145.2331085,89,183
-36.2673728,145.0155812,87,179
-36.4017856,144.6250634,35,75
-36.5561929,145.268334,39,83
-36.1823666,144.9332971,56,117
-36.2694375,145.0074013,88,181
-36.3419577,144.772183,40,85
-36.1508385,145.6177542,25,55
-37.9815422,146.7745243,6,17
-36.4252912,145.2846058,77,159
-36.8776575,142.137803,2,9
-36.2321216,145.0311481,78,161
-36.1687338,146.7211688,3,11
-36.4835579,145.2216517,74,153
-37.4032362,141.6125662,3,11
-36.4237947,144.0509463,6,17
-37.0600317,145.2882105,1,7
-36.3780309,145.4650995,37,79
-36.5606264,145.9804635,3,11
-35.4368365,142.8239708,1,7
-34.1740703,142.0954128,12,29
-38.0455186,147.3388252,2,9
-37.4042364,141.6128607,3,11
-35.5568551,143.5951221,9,23
-36.1292478,145.6439116,24,53
-37.91282,143.3609645,5,15
-36.0119523,141.9789635,2,9
-36.697663,142.7636583,1,7
-36.4152703,144.9945361,82,169
-36.3542382,145.0630635,119,243
