Suburb,BoreCount,Intensity
RUNNING CREEK,0,0
TANWOOD,0,0
MAILORS FLAT,0,0
WESTBY,0,0
BULN BULN,0,0
YANNATHAN,0,0
GLENPATRICK,0,0
AVONSLEIGH,0,0
MENZIES CREEK,0,0
THE COVE,0,0
SPRINGMOUNT,0,0
TARILTA,0,0
NOWHERE CREEK,0,0
MOE SOUTH,0,0
PIGGOREET,0,0
NEWLYN NORTH,0,0
MERBEIN SOUTH,0,0
ROSEBERY,0,0
TABBERABBERA,0,0
BALLENDELLA,3,3
MOUNT WAVERLEY,0,0
GREEN GULLY,0,0
LAKE CONDAH,0,0
STAFFORDSHIRE REEF,0,0
KOOROOMAN,0,0
SOUTH WHARF,0,0
GREDGWIN,0,0
NERRING,0,0
TRESCO WEST,6,6
PIPERS CREEK,0,0
GLENBRAE,0,0
RIVERSIDE,0,0
CARRUM,0,0
KOROOP,0,0
BENDIGO,0,0
ASHBURTON,0,0
MALVERN EAST,0,0
CANTERBURY,0,0
BLACKBURN NORTH,0,0
PARK ORCHARDS,0,0
LAKE GARDENS,0,0
RAINBOW,0,0
JEPARIT,2,2
WHEELERS HILL,0,0
ARMADALE,0,0
COONOOER WEST,0,0
MALVERN,0,0
MONGANS BRIDGE,0,0
TARNAGULLA,0,0
CUNDARE,0,0
ELINGAMITE,0,0
WEE WEE RUP,0,0
GLEN WAVERLEY,0,0
LOCH VALLEY,0,0
EAST SALE,0,0
DALTONS BRIDGE,0,0
LOVELY BANKS,0,0
BELL POST HILL,0,0
CARAPOOEE WEST,0,0
CLARENDON,0,0
THOMASTOWN,0,0
BELGRAVE SOUTH,0,0
SHEANS CREEK,0,0
HURSTBRIDGE,0,0
FRANKSTON SOUTH,0,0
SIMPSONS CREEK,0,0
MEPUNGA,0,0
SMITHS GULLY,0,0
BRANDY CREEK,0,0
EMU,0,0
KARDELLA SOUTH,0,0
BETLEY,0,0
CABBAGE TREE,0,0
COOPERS CREEK,0,0
WHOROULY EAST,0,0
BUNGADOR,0,0
JOYCES CREEK,1,1
NAROGHID,0,0
HAZEL PARK,0,0
FERGUSON,0,0
WINTER VALLEY,0,0
NEERIM JUNCTION,0,0
GLENHOPE EAST,2,2
BRIGHTON EAST,0,0
WISELEIGH,0,0
SANDON,0,0
BORONIA,0,0
ALLENDALE,0,0
GIPSY POINT,0,0
WENTWORTH,0,0
LANGDONS HILL,0,0
TYAAK,0,0
ARGYLE,0,0
DOLLAR,0,0
CLARKES HILL,0,0
HEATHCOTE JUNCTION,0,0
OSBORNES FLAT,0,0
MIEPOLL,0,0
LONGWOOD,0,0
CASSILIS,0,0
KALLISTA,0,0
BIRDWOODTON,0,0
ROBERTSONS BEACH,0,0
ENDEAVOUR HILLS,0,0
SPARGO CREEK,0,0
GREENHILL,0,0
SKINNERS FLAT,0,0
NAREEB,0,0
BEARS LAGOON,0,0
DENNINGTON,1,1
LLOWALONG,0,0
KOROBEIT,0,0
CABARITA,1,1
GLEN WILLS,0,0
KANYA,0,0
MOUNT DORAN,0,0
AVONDALE HEIGHTS,0,0
ERICA,0,0
SOMERTON,0,0
CLARETOWN,0,0
MOKEPILLY,0,0
OXLEY FLATS,1,1
HAZELWOOD SOUTH,0,0
WHOOREL,0,0
NEWHAVEN,0,0
OAKLEIGH SOUTH,0,0
SHERBROOKE,0,0
MUSK,0,0
WOODSIDE NORTH,0,0
LANGSBOROUGH,0,0
HAVILAH,0,0
STRATHMORE HEIGHTS,0,0
PIEDMONT,0,0
MEAD,1,1
BEACONSFIELD UPPER,0,0
ST LEONARDS,0,0
PASCHENDALE,0,0
BIG PATS CREEK,0,0
LITTLE HAMPTON,0,0
LAWRENCE,0,0
EDGECOMBE,0,0
GELLIONDALE,0,0
GILLIESTON,11,11
COWES,0,0
AVON PLAINS,1,1
DOCTORS FLAT,0,0
WARATAH BAY,0,0
WOODFORD,0,0
CAPE CONRAN,0,0
INKERMAN,0,0
BOWSER,0,0
LUCKNOW,0,0
BAXTER,0,0
WONGA,0,0
CROSSOVER,0,0
CRANBOURNE WEST,0,0
COBAW,0,0
MEPUNGA EAST,0,0
TOOLAMBA WEST,7,7
ROSEBUD,0,0
WOORINEN NORTH,0,0
VENUS BAY,1,1
DON VALLEY,0,0
GLENDARUEL,0,0
CHEROKEE,0,0
GRAHAMVALE,7,7
MERRIANG,0,0
MERBEIN WEST,0,0
MILLGROVE,0,0
THORPDALE SOUTH,0,0
THE HONEYSUCKLES,0,0
MOUNT MAJOR,0,0
JEERALANG JUNCTION,0,0
HINNOMUNJIE,0,0
TULKARA,0,0
ZEERUST,3,3
TEESDALE,0,0
CLAYTON SOUTH,0,0
SHANNONVALE,0,0
HALLAM,0,0
GRETA,0,0
YARPTURK,0,0
RAVENHALL,0,0
CASTLE CREEK,0,0
BROMLEY,0,0
OLINDA,1,1
BLACKBURN,0,0
SELBY,0,0
CRIB POINT,0,0
BULLEEN,0,0
LAKE TYERS BEACH,0,0
AMOR,0,0
WEST MELBOURNE,0,0
SIMSON,0,0
YARRAGON,0,0
GLENMAGGIE,0,0
TAHARA,0,0
MORGIANA,0,0
TARRENLEA,0,0
KINGSTON,0,0
MOUNT PROSPECT,0,0
TARRAWARRA,0,0
TOWANINNY SOUTH,0,0
VIEWBANK,0,0
NARRE WARREN EAST,0,0
MURNUNGIN,0,0
MEATIAN,0,0
DALMORE,0,0
THE BASIN,0,0
VITE VITE NORTH,0,0
BURNSIDE,0,0
DURDIDWARRAH,0,0
NINYEUNOOK,0,0
NORONG,0,0
UNDERA,1,1
WANDIN EAST,1,1
WARRANDYTE,0,0
TOWONG UPPER,0,0
SOUTHERN CROSS,0,0
WATTLE FLAT,0,0
PLENTY,0,0
WANDIN NORTH,1,1
CANNONS CREEK,0,0
LINDENOW SOUTH,0,0
GOORNONG,1,1
GNOTUK,0,0
MOUNT DANDENONG,0,0
DINGLEY VILLAGE,0,0
MOUNT TOOLEBEWONG,0,0
BOOLARONG,0,0
LORQUON,0,0
NORTH WARRANDYTE,0,0
WOORARRA WEST,0,0
BATHUMI,1,1
GAFFNEYS CREEK,0,0
MICKLEHAM,0,0
MOSSIFACE,0,0
COWLEYS CREEK,0,0
AGNES,0,0
BELLS BEACH,0,0
ALTONA NORTH,0,0
BADGER CREEK,0,0
ST ALBANS,0,0
EAST BAIRNSDALE,0,0
KALORAMA,0,0
COALVILLE,0,0
PENNYROYAL,0,0
WANNON,0,0
BROOMFIELD,0,0
YANDOIT HILLS,0,0
EAST MELBOURNE,0,0
DENISON,1,1
JANCOURT,0,0
BOCHARA,0,0
NYAH WEST,0,0
GATUM,2,2
MURROON,0,0
SWAN HILL,0,0
LAKE LONSDALE,1,1
CAVENDISH,0,0
BERRINGA,0,0
ELINGAMITE NORTH,0,0
PELLUEBLA,0,0
ARCHDALE JUNCTION,0,0
FAIRLEY,0,0
APPIN,0,0
MOUNT BOLTON,0,0
OMEO VALLEY,0,0
TRARALGON SOUTH,0,0
MANDURANG,0,0
MOUNT BECKWORTH,0,0
MOLOGA,0,0
SWAN HILL WEST,0,0
FLAMINGO BEACH,0,0
DOOKIE,0,0
NIRRANDA,0,0
WAYGARA,0,0
KORIELLA,0,0
ROKEBY,0,0
PURNIM WEST,0,0
DHURRINGILE,3,3
WATCHEM,0,0
CLOVER FLAT,0,0
GRANITE ROCK,0,0
NICHOLSON,0,0
HEATHCOTE SOUTH,0,0
SARSFIELD,0,0
LENEVA,0,0
BUNGAREE,0,0
YERING,0,0
YUNDOOL,0,0
WINLATON,0,0
ELLASWOOD,0,0
EAST WANGARATTA,0,0
KYNETON SOUTH,0,0
MITCHELL PARK,0,0
STACEYS BRIDGE,0,0
MORANDING,1,1
YEO,0,0
WELSHMANS REEF,0,0
GOWER,0,0
DROUIN,0,0
BERRIMAL,0,0
PASTORIA EAST,0,0
CUDGEE,0,0
WAAIA,7,7
MIA MIA,0,0
YARCK,0,0
WYUNA,8,8
TARRONE,0,0
TOOLONG,0,0
WILLAURA NORTH,0,0
TURTONS CREEK,0,0
NUG NUG,0,0
GOWANFORD,0,0
LONGWARRY,0,0
TARRENGOWER,0,0
ALTONA,0,0
BUSHFIELD,0,0
RATHSCAR,0,0
CURDIEVALE,0,0
CALLIGNEE,0,0
WANGOOM,0,0
BOOLARRA,0,0
LLANELLY,0,0
HAWKHURST,0,0
OCEAN GRANGE,0,0
TYERS,0,0
CARRUM DOWNS,0,0
STONYFORD,0,0
CARPENDEIT,0,0
BONA VISTA,0,0
TAMBO CROSSING,0,0
TARADALE,0,0
SWANWATER,0,0
GUYS FOREST,0,0
BRIMIN,0,0
GROVEDALE,0,0
BUNDALONG,1,1
BOORHAMAN NORTH,0,0
ESMOND,0,0
ALLAMBEE SOUTH,0,0
LANGWARRIN SOUTH,0,0
BOXWOOD,0,0
NORVAL,0,0
SKYE,0,0
MANOR LAKES,0,0
WOORINEN SOUTH,0,0
KATANDRA WEST,2,2
DRUMANURE,1,1
EVERSLEY,0,0
DOCKERS PLAINS,0,0
MARYVALE,0,0
COBRICO,0,0
NIRRANDA EAST,0,0
POMBORNEIT EAST,0,0
